date,tweet,clean_tweet
2021-05-16,"  He should wear outfit for Halloween, but with “Bitcoin” tattooed high on thighs",wear outfit halloween bitcoin tattoo high thigh
2021-05-16, Obnoxious threads like this make me want to go all in on Doge,obnoxi thread like make want go doge
2021-05-16,  Only if Doge can’t do it. Big pain in the neck to create another one.,doge big pain neck creat anoth one
2021-05-16," Ideally, Doge speeds up block time 10X, increases block size 10X &amp; drops fee 100X. Then it wins hands down.",ideal doge speed block time x increas block size x amp drop fee x win hand
2021-05-14,Working with Doge devs to improve system transaction efficiency. Potentially promising.,work doge dev improv system transact effici potenti promis
2021-05-14,"To be clear, I strongly believe in crypto, but it can’t drive a massive increase in fossil fuel use, especially coal",clear strong believ crypto drive massiv increas fossil fuel use especi coal
2021-05-13,Tesla &amp; Bitcoin  ,tesla amp bitcoin
2021-05-11,Do you want Tesla to accept Doge?,want tesla accept doge
2021-05-10,SpaceX launching satellite Doge-1 to the moon next year  – Mission paid for in Doge – 1st crypto in space – 1st meme in space  To the mooooonnn!!   ,spacex launch satellit doge moon next year mission paid doge st crypto space st meme space mooooonnn
2021-04-28,The Dogefather SNL May 8,dogefath snl may
2021-04-27," No, you do not. I have not sold any of my Bitcoin. Tesla sold 10% of its holdings essentially to prove liquidity of Bitcoin as an alternative to holding cash on balance sheet.",sold bitcoin tesla sold hold essenti prove liquid bitcoin altern hold cash balanc sheet
2021-04-15,Doge Barking at the Moon  ,doge bark moon
2021-04-15, Doge Barking at the Moon – Miro  ,doge bark moon miro
2021-04-01,SpaceX is going to put a literal Dogecoin on the literal moon,spacex go put liter dogecoin liter moon
2021-03-24,Pay by Bitcoin capability available outside US later this year,pay bitcoin capabl avail outsid us later year
2021-03-24,"Tesla is using only internal &amp; open source software &amp; operates Bitcoin nodes directly.  Bitcoin paid to Tesla will be retained as Bitcoin, not converted to fiat currency.",tesla use intern amp open sourc softwar amp oper bitcoin node direct bitcoin paid tesla retain bitcoin convert fiat currenc
2021-03-24,You can now buy a Tesla with Bitcoin,buy tesla bitcoin
2021-03-20," Given significant architectural changes, including fundamental improvements to pure vision, there is limited value to testing 8.x. Hoping to upload V9.0 &amp; button next month.",given signific architectur chang includ fundament improv pure vision limit valu test x hope upload v amp button next month
2021-03-19, Sometimes it’s about Doge,sometim doge
2021-03-16, 420M Doge,doge
2021-03-14,"Why are you so dogematic, they ask",dogemat ask
2021-03-14,"Origin of Doge Day Afternoon: The ancient Romans sacrificed a Dogecoin at the beginning of the Doge Days to appease the rage of Sirius, believing that the star was the cause of the hot, sultry weather.",origin doge day afternoon ancient roman sacrif dogecoin begin doge day appeas rage sirius believ star caus hot sultri weather
2021-03-14,Doge day afternoon,doge day afternoon
2021-03-12,BTC (Bitcoin) is an anagram of TBC(The Boring Company) What a coincidence!,btc bitcoin anagram tbc bore compani coincid
2021-03-06,Doge spelled backwards is Egod,doge spell backward egod
2021-03-03, Very much so &amp; its leader shall be The Doge   ,much amp leader shall doge
2021-03-02,Scammers &amp; crypto should get a room,scammer amp crypto get room
2021-03-02, 2022: Dogecoin is dumb,dogecoin dumb
2021-03-01,Doge meme shield (legendary item)  ,doge meme shield legendari item
2021-02-22,Dojo 4 Doge,dojo doge
2021-02-21,Heard a rumor some crypto coin was pegging the dollar 🤣🤣,heard rumor crypto coin peg dollar
2021-02-20, I just set up some little Doge mining rigs with my kids. It was fun.,set littl doge mine rig kid fun
2021-02-20," An email saying you have gold is not the same as having gold. You might as well have crypto.  Money is just data that allows us to avoid the inconvenience of barter.  That data, like all data, is subject to latency &amp; error. The system will evolve to that which minimizes both.",email say gold gold might well crypto money data allow us avoid inconveni barter data like data subject latenc amp error system evolv minim
