date,dogecoin_price,stonks
2014-10-15,0.0002237751599406083,1
2014-10-16,0.0002118006987179432,-1
2014-10-17,0.000200158984698492,-1
2014-10-18,0.000195023740322925,-1
2014-10-19,0.0001998536695318125,1
2014-10-20,0.0001866207780552871,-1
2014-10-21,0.0001794050438572678,-1
2014-10-22,0.0001794283942878905,1
2014-10-23,0.0002004193468101207,1
2014-10-24,0.0001940529060986463,-1
2014-10-25,0.0001974114678943171,1
2014-10-26,0.0001958869428697374,-1
2014-10-27,0.0001951429392620671,-1
2014-10-28,0.0001950805825587863,-1
2014-10-29,0.0001994236047350093,1
2014-10-30,0.0001890314007536974,-1
2014-10-31,0.0001896860800615067,1
2014-11-01,0.0001879184909786057,-1
2014-11-02,0.0001775116753747088,-1
2014-11-03,0.0001747999245381723,-1
2014-11-04,0.0001712053961285003,-1
2014-11-05,0.0001667282132954271,-1
2014-11-06,0.0001744744041827134,1
2014-11-07,0.0001827880876395567,1
2014-11-08,0.0001741749162430672,-1
2014-11-09,0.0001747668202779607,1
2014-11-10,0.0001771764702989781,1
2014-11-11,0.0001755077024090945,-1
2014-11-12,0.0001766789994939664,1
2014-11-13,0.0001895828086549163,1
2014-11-14,0.0001970422199135271,1
2014-11-15,0.0001897203523282991,-1
2014-11-16,0.0001799547120177671,-1
2014-11-17,0.0001788475858768131,-1
2014-11-18,0.0001782097718135871,-1
2014-11-19,0.0001695041441113243,-1
2014-11-20,0.0001702350226488362,1
2014-11-21,0.0001651490272581289,-1
2014-11-22,0.0001668814359903633,1
2014-11-23,0.0001721653183990461,1
2014-11-24,0.0002035457417691969,1
2014-11-25,0.0001978169534782595,-1
2014-11-26,0.0001951067368735536,-1
2014-11-27,0.000187185885606744,-1
2014-11-28,0.0001949969932054861,1
2014-11-29,0.0001978264156069138,1
2014-11-30,0.0001940547414786201,-1
2014-12-01,0.0001941074238947164,1
2014-12-02,0.0001926881028056357,-1
2014-12-03,0.0001918621447892425,-1
2014-12-04,0.0001910085235047779,-1
2014-12-05,0.0001830833868846243,-1
2014-12-06,0.0001897685642460881,1
2014-12-07,0.0001854920636589498,-1
2014-12-08,0.0001845970548279767,-1
2014-12-09,0.000178060834979908,-1
2014-12-10,0.0001697862096991243,-1
2014-12-11,0.0001673749367938163,-1
2014-12-12,0.000164527075386173,-1
2014-12-13,0.0001647802174454186,1
2014-12-14,0.0001611732680932763,-1
2014-12-15,0.0001555733654501266,-1
2014-12-16,0.0001503194412814301,-1
2014-12-17,0.0001384760456346788,-1
2014-12-18,0.0001463416950219039,1
2014-12-19,0.0001424803629153829,-1
2014-12-20,0.0001580523958229224,1
2014-12-21,0.0001685111569577771,1
2014-12-22,0.0001571685173575992,-1
2014-12-23,0.0001588126103531348,1
2014-12-24,0.0001590675107917167,1
2014-12-25,0.0001535722158535382,-1
2014-12-26,0.0001506536288359242,-1
2014-12-27,0.0001564990387790224,1
2014-12-28,0.0001496370624587184,-1
2014-12-29,0.0001500013490761548,1
2014-12-30,0.0001489318808001506,-1
2014-12-31,0.0001466226653800197,-1
2015-01-01,0.0001533261127566862,1
2015-01-02,0.0001513038204545893,-1
2015-01-03,0.0001529535553612847,1
2015-01-04,0.0001398372596276816,-1
2015-01-05,0.0001324493462663289,-1
2015-01-06,0.0001343579976056494,1
2015-01-07,0.0001423038062380352,1
2015-01-08,0.0001465531557381281,1
2015-01-09,0.0001433781837095507,-1
2015-01-10,0.0001444664124624404,1
2015-01-11,0.000138232523560636,-1
2015-01-12,0.0001354517048999402,-1
2015-01-13,0.0001325611263721006,-1
2015-01-14,0.0001137763666701519,-1
2015-01-15,9.751423723521638e-05,-1
2015-01-16,0.000120844408701543,1
2015-01-17,0.0001214834261729068,1
2015-01-18,0.0001171635318313088,-1
2015-01-19,0.0001194267233406763,1
2015-01-20,0.0001210547078251188,1
2015-01-21,0.0001221072199390968,1
2015-01-22,0.0001318222651932877,1
2015-01-23,0.0001364001327924857,1
2015-01-24,0.0001390463138380171,1
2015-01-25,0.0001481464565132404,1
2015-01-26,0.0001506097093969377,1
2015-01-27,0.0001449614051544933,-1
2015-01-28,0.0001418821300632839,-1
2015-01-30,0.0001280089648482042,-1
2015-01-31,0.0001258090309307367,-1
2015-02-01,0.0001225778289480782,-1
2015-02-02,0.0001272597819155803,1
2015-02-03,0.0001330729320378286,1
2015-02-04,0.0001271021381398924,-1
2015-02-05,0.0001281169438858473,1
2015-02-06,0.000121732361205842,-1
2015-02-07,0.000127379905349718,1
2015-02-08,0.0001281981278759668,1
2015-02-09,0.0001252063552148687,-1
2015-02-10,0.0001241032626676942,-1
2015-02-11,0.0001235595496406354,-1
2015-02-12,0.0001221104431294982,-1
2015-02-13,0.0001234159764688551,1
2015-02-14,0.0001254898039396968,1
2015-02-15,0.0001323700287406657,1
2015-02-16,0.0001238129594120941,-1
2015-02-17,0.0001268869396815018,1
