date,bitcoin_price,stonks
2011-06-10,28.919,-1
2011-06-11,23.9497,-1
2011-06-12,14.6511,-1
2011-06-13,18.5464,1
2011-06-14,19.84,1
2011-06-15,19.28,-1
2011-06-16,19.49,1
2011-06-17,17.0,-1
2011-06-18,15.681,-1
2011-06-19,16.89,1
2011-06-20,17.51,1
2011-06-21,17.51,0
2011-06-22,17.51,0
2011-06-23,17.51,0
2011-06-24,17.51,0
2011-06-25,17.51,0
2011-06-26,17.51,0
2011-06-27,16.45,-1
2011-06-28,16.75,1
2011-06-29,16.9498,1
2011-06-30,16.845,-1
2011-07-01,16.101,-1
2011-07-02,15.397,-1
2011-07-03,15.4,1
2011-07-04,15.4405,1
2011-07-05,13.86,-1
2011-07-06,12.9069,-1
2011-07-07,14.7835,1
2011-07-08,14.7761,-1
2011-07-09,14.314,-1
2011-07-10,14.38,1
2011-07-11,14.9,1
2011-07-12,14.2091,-1
2011-07-13,14.0094,-1
2011-07-14,13.951,-1
2011-07-15,13.99,1
2011-07-16,13.81,-1
2011-07-17,13.7191,-1
2011-07-18,13.16,-1
2011-07-19,13.48,1
2011-07-20,13.8502,1
2011-07-21,13.6894,-1
2011-07-22,13.61,-1
2011-07-23,13.6954,1
2011-07-24,13.68,-1
2011-07-25,13.98,1
2011-07-26,14.0478,1
2011-07-27,13.8821,-1
2011-07-28,13.9394,1
2011-07-29,13.4901,-1
2011-07-30,13.4983,1
2011-07-31,13.5303,1
2011-08-01,13.35,-1
2011-08-02,13.0946,-1
2011-08-03,12.05,-1
2011-08-04,9.26,-1
2011-08-05,10.75,1
2011-08-06,9.7999,-1
2011-08-07,6.55,-1
2011-08-08,7.9,1
2011-08-09,7.7999,-1
2011-08-10,9.99,1
2011-08-11,9.98,-1
2011-08-12,9.4625,-1
2011-08-13,9.4605,-1
2011-08-14,10.131,1
2011-08-15,10.7957,1
2011-08-16,11.1498,1
2011-08-17,10.9641,-1
2011-08-18,10.9456,-1
2011-08-19,10.83,-1
2011-08-20,11.65,1
2011-08-21,11.453,-1
2011-08-22,11.3113,-1
2011-08-23,10.895,-1
2011-08-24,10.94,1
2011-08-25,10.8506,-1
2011-08-26,9.657,-1
2011-08-27,8.1794,-1
2011-08-28,8.5902,1
2011-08-29,9.0701,1
2011-08-30,8.969,-1
2011-08-31,8.7913,-1
2011-09-01,8.1995,-1
2011-09-02,8.21,1
2011-09-03,8.64,1
2011-09-04,8.48,-1
2011-09-05,8.178,-1
2011-09-06,7.611,-1
2011-09-07,6.8628,-1
2011-09-08,7.1864,1
2011-09-09,6.53,-1
2011-09-10,5.03,-1
2011-09-11,4.7739,-1
2011-09-12,5.8644,1
2011-09-13,6.078,1
2011-09-14,5.8,-1
2011-09-15,5.6193,-1
2011-09-16,4.84,-1
2011-09-17,4.82,-1
2011-09-18,4.77,-1
2011-09-19,5.2,1
2011-09-20,5.46,1
2011-09-21,6.1119,1
2011-09-22,5.6114,-1
2011-09-23,5.4278,-1
2011-09-24,5.5451,1
2011-09-25,5.4683,-1
2011-09-26,5.33,-1
2011-09-27,4.8697,-1
2011-09-28,4.9156,1
2011-09-29,4.7725,-1
2011-09-30,4.7794,1
2011-10-01,5.1401,1
2011-10-02,5.0324,-1
2011-10-03,5.027,-1
2011-10-04,5.024,-1
2011-10-05,4.96,-1
2011-10-06,4.87,-1
2011-10-07,4.7344,-1
2011-10-08,4.2728,-1
2011-10-09,4.0075,-1
2011-10-10,4.1029,1
2011-10-11,4.1,-1
2011-10-12,3.9308,-1
2011-10-13,4.15,1
2011-10-14,4.0462,-1
2011-10-15,3.9879,-1
2011-10-16,3.8421,-1
2011-10-17,3.557,-1
2011-10-18,2.56,-1
2011-10-19,2.419,-1
2011-10-20,2.27,-1
2011-10-21,2.348,1
2011-10-22,2.57,1
2011-10-23,3.1588,1
2011-10-24,3.17,1
2011-10-25,2.545,-1
2011-10-26,2.77,1
2011-10-27,2.773,1
2011-10-28,3.04,1
2011-10-29,3.19,1
2011-10-30,3.5811,1
2011-10-31,3.27,-1
2011-11-01,3.248,-1
2011-11-02,3.15,-1
2011-11-03,3.2543,1
2011-11-04,3.152,-1
2011-11-05,3.109,-1
2011-11-06,2.97,-1
2011-11-07,2.9596,-1
2011-11-08,3.0068,1
2011-11-09,3.035,1
2011-11-10,2.95,-1
2011-11-11,2.8399,-1
2011-11-12,3.08,1
2011-11-13,3.031,-1
2011-11-14,2.9969,-1
2011-11-15,2.22,-1
2011-11-16,2.329,1
2011-11-17,2.5604,1
2011-11-18,2.25,-1
2011-11-19,2.05,-1
2011-11-20,2.1959,1
2011-11-21,2.2,1
2011-11-22,2.294,1
2011-11-23,2.3289,1
2011-11-24,2.3321,1
2011-11-25,2.4321,1
2011-11-26,2.5061,1
2011-11-27,2.47,-1
2011-11-28,2.4799,1
2011-11-29,2.55,1
2011-11-30,2.7502,1
2011-12-01,2.9701,1
2011-12-02,3.06,1
2011-12-03,3.1151,1
2011-12-04,2.794,-1
2011-12-05,2.8281,1
2011-12-06,2.8798,1
2011-12-07,3.03,1
2011-12-08,2.99,-1
2011-12-09,2.98,-1
2011-12-10,2.97,-1
2011-12-11,3.05,1
2011-12-12,3.2511,1
2011-12-13,3.135,-1
2011-12-14,3.2499,1
2011-12-15,3.15,-1
2011-12-16,3.2,1
2011-12-17,3.2,0
2011-12-18,3.2001,1
2011-12-19,3.193,-1
2011-12-20,3.5202,1
2011-12-21,3.95,1
2011-12-22,3.89,-1
2011-12-23,3.8901,1
2011-12-24,3.9468,1
2011-12-25,3.94,-1
2011-12-26,4.225,1
2011-12-27,4.018,-1
2011-12-28,4.07,1
2011-12-29,4.1855,1
2011-12-30,4.166,-1
2011-12-31,4.248,1
2012-01-01,4.722,1
2012-01-02,5.2677,1
2012-01-03,5.2168,-1
2012-01-04,4.8808,-1
2012-01-05,5.5738,1
2012-01-06,6.9476,1
2012-01-07,6.6969,-1
2012-01-08,6.81,1
2012-01-09,7.1136,1
2012-01-10,6.3257,-1
2012-01-11,6.36,1
2012-01-12,6.9,1
2012-01-13,6.8,-1
2012-01-14,6.41,-1
2012-01-15,6.75,1
2012-01-16,7.0018,1
2012-01-17,6.6825,-1
2012-01-18,5.6,-1
2012-01-19,5.92,1
2012-01-20,6.3598,1
2012-01-21,6.4898,1
2012-01-22,6.18,-1
2012-01-23,6.3097,1
2012-01-24,6.356,1
2012-01-25,6.2898,-1
2012-01-26,5.75,-1
2012-01-27,5.34,-1
2012-01-28,5.292,-1
2012-01-29,5.6267,1
2012-01-30,5.3809,-1
2012-01-31,5.4905,1
2012-02-01,5.4838,-1
2012-02-02,6.0756,1
2012-02-03,6.1,1
2012-02-04,5.9593,-1
2012-02-05,5.8734,-1
2012-02-06,5.6888,-1
2012-02-07,5.4535,-1
2012-02-08,5.69,1
2012-02-09,5.6,-1
2012-02-10,5.83,1
2012-02-11,5.9126,1
2012-02-12,5.6005,-1
2012-02-13,5.5147,-1
2012-02-14,5.26,-1
2012-02-15,4.4629,-1
2012-02-16,4.3251,-1
2012-02-17,4.2739,-1
2012-02-18,4.41,1
2012-02-19,4.222,-1
2012-02-20,4.3867,1
2012-02-21,4.3615,-1
2012-02-22,4.272,-1
2012-02-23,4.4247,1
2012-02-24,5.015,1
2012-02-25,5.0288,1
2012-02-26,4.773,-1
2012-02-27,4.922,1
2012-02-28,4.956,1
2012-02-29,4.868,-1
2012-03-01,4.86,-1
2012-03-02,4.9213,1
2012-03-03,4.705,-1
2012-03-04,4.6144,-1
2012-03-05,4.82,1
2012-03-06,4.9843,1
2012-03-07,4.9901,1
2012-03-08,4.9375,-1
2012-03-09,4.9302,-1
2012-03-10,4.8611,-1
2012-03-11,4.8332,-1
2012-03-12,4.91,1
2012-03-13,4.8901,-1
2012-03-14,5.27,1
2012-03-15,5.38,1
2012-03-16,5.3266,-1
2012-03-17,5.3439,1
2012-03-18,5.2159,-1
2012-03-19,5.2794,1
2012-03-20,4.6939,-1
2012-03-21,4.8379,1
2012-03-22,4.8149,-1
2012-03-23,4.7043,-1
2012-03-24,4.686,-1
2012-03-25,4.676,-1
2012-03-26,4.55,-1
2012-03-27,4.6191,1
2012-03-28,4.8113,1
2012-03-29,4.788,-1
2012-03-30,4.8084,1
2012-03-31,4.86,1
2012-04-01,4.9087,1
2012-04-02,4.827,-1
2012-04-03,4.974,1
2012-04-04,4.952,-1
2012-04-05,4.9101,-1
2012-04-06,4.919,1
2012-04-07,4.9499,1
2012-04-08,4.6872,-1
2012-04-09,4.7925,1
2012-04-10,4.8719,1
2012-04-11,4.8367,-1
2012-04-12,4.9279,1
2012-04-13,4.9197,-1
2012-04-14,4.94,1
2012-04-15,4.9597,1
2012-04-16,4.9689,1
2012-04-17,4.932,-1
2012-04-18,4.9759,1
2012-04-19,5.1178,1
2012-04-20,5.1377,1
2012-04-21,5.35,1
2012-04-22,5.2601,-1
2012-04-23,5.2035,-1
2012-04-24,4.96,-1
2012-04-25,5.0982,1
2012-04-26,5.1318,1
2012-04-27,5.0976,-1
2012-04-28,5.1095,1
2012-04-29,4.9794,-1
2012-04-30,4.9044,-1
2012-05-01,4.9491,1
2012-05-02,5.0,1
2012-05-03,5.0737,1
2012-05-04,5.1344,1
2012-05-05,5.067,-1
2012-05-06,5.077,1
2012-05-07,5.0499,-1
2012-05-08,5.06,1
2012-05-09,5.05,-1
2012-05-10,5.0437,-1
2012-05-11,4.85,-1
2012-05-12,4.96,1
2012-05-13,4.9462,-1
2012-05-14,4.93,-1
2012-05-15,5.0059,1
2012-05-16,5.035,1
2012-05-17,5.0887,1
2012-05-18,5.0998,1
2012-05-19,5.118,1
2012-05-20,5.0995,-1
2012-05-21,5.09,-1
2012-05-22,5.0998,1
2012-05-23,5.0988,-1
2012-05-24,5.1397,1
2012-05-25,5.119,-1
2012-05-26,5.1455,1
2012-05-27,5.1032,-1
